A,B,C,AVSC,cos-zenith
1232.02,0.141269,0.0566916,1.03323,-0.510334
1232.02,0.141269,0.0566916,1.03323,-0.335931
1232.02,0.141269,0.0566916,1.03323,-0.155907
1232.02,0.141269,0.0566916,1.03323,0.0174702
1232.02,0.141269,0.0566916,1.03323,0.172385
1232.02,0.141269,0.0566916,1.03323,0.29828
1232.02,0.141269,0.0566916,1.03323,0.386577
1232.02,0.141269,0.0566916,1.03323,0.431257
1232.02,0.141269,0.0566916,1.03323,0.429275
1232.02,0.141269,0.0566916,1.03323,0.380768
1232.02,0.141269,0.0566916,1.03323,0.28904
1232.02,0.141269,0.0566916,1.03323,0.160343
1232.02,0.141269,0.0566916,1.03323,0.0034469
1232.02,0.141269,0.0566916,1.03323,-0.170956
1232.02,0.141269,0.0566916,1.03323,-0.35098
1232.02,0.141269,0.0566916,1.03323,-0.524357
1232.02,0.141269,0.0566916,1.03323,-0.679272
1232.02,0.141269,0.0566916,1.03323,-0.805167
1232.02,0.141269,0.0566916,1.03323,-0.893463
1232.02,0.141269,0.0566916,1.03323,-0.938143
1231.84,0.141262,0.0567103,1.03315,-0.93555
1231.84,0.141262,0.0567103,1.03315,-0.887312
1231.84,0.141262,0.0567103,1.03315,-0.795779
1231.84,0.141262,0.0567103,1.03315,-0.667188
1231.84,0.141262,0.0567103,1.03315,-0.510303
1231.84,0.141262,0.0567103,1.03315,-0.335814
1231.84,0.141262,0.0567103,1.03315,-0.155614
1231.84,0.141262,0.0567103,1.03315,0.0180185
1231.84,0.141262,0.0567103,1.03315,0.173249
1231.84,0.141262,0.0567103,1.03315,0.2995
1231.84,0.141262,0.0567103,1.03315,0.388168
1231.84,0.141262,0.0567103,1.03315,0.433209
1231.84,0.141262,0.0567103,1.03315,0.431554
1231.84,0.141262,0.0567103,1.03315,0.383317
1231.84,0.141262,0.0567103,1.03315,0.291784
1231.84,0.141262,0.0567103,1.03315,0.163193
1231.84,0.141262,0.0567103,1.03315,0.00630708
1231.84,0.141262,0.0567103,1.03315,-0.168182
1231.84,0.141262,0.0567103,1.03315,-0.348382
1231.84,0.141262,0.0567103,1.03315,-0.522014
1231.84,0.141262,0.0567103,1.03315,-0.677245
1231.84,0.141262,0.0567103,1.03315,-0.803496
1231.84,0.141262,0.0567103,1.03315,-0.892163
1231.84,0.141262,0.0567103,1.03315,-0.937205
1231.66,0.141259,0.0567348,1.03306,-0.934885
1231.66,0.141259,0.0567348,1.03306,-0.886909
1231.66,0.141259,0.0567348,1.03306,-0.795561
1231.66,0.141259,0.0567348,1.03306,-0.667067
1231.66,0.141259,0.0567348,1.03306,-0.510182
1231.66,0.141259,0.0567348,1.03306,-0.335599
1231.66,0.141259,0.0567348,1.03306,-0.155214
1231.66,0.141259,0.0567348,1.03306,0.0186784
1231.66,0.141259,0.0567348,1.03306,0.174229
1231.66,0.141259,0.0567348,1.03306,0.300837
1231.66,0.141259,0.0567348,1.03306,0.389874
1231.66,0.141259,0.0567348,1.03306,0.435272
1231.66,0.141259,0.0567348,1.03306,0.433938
1231.66,0.141259,0.0567348,1.03306,0.385963
1231.66,0.141259,0.0567348,1.03306,0.294615
1231.66,0.141259,0.0567348,1.03306,0.166121
1231.66,0.141259,0.0567348,1.03306,0.00923602
1231.66,0.141259,0.0567348,1.03306,-0.165347
1231.66,0.141259,0.0567348,1.03306,-0.345732
1231.66,0.141259,0.0567348,1.03306,-0.519625
1231.66,0.141259,0.0567348,1.03306,-0.675175
1231.66,0.141259,0.0567348,1.03306,-0.801783
1231.66,0.141259,0.0567348,1.03306,-0.89082
1231.66,0.141259,0.0567348,1.03306,-0.936219
1231.46,0.14126,0.056765,1.03296,-0.934165
1231.46,0.14126,0.056765,1.03296,-0.886444
1231.46,0.14126,0.056765,1.03296,-0.795273
1231.46,0.14126,0.056765,1.03296,-0.666865
