A,B,C,AVSC,cos-zenith
1229.54,0.141394,0.0571727,1.03184,-0.284648
1229.54,0.141394,0.0571727,1.03184,-0.481281
1229.54,0.141394,0.0571727,1.03184,-0.658561
1229.54,0.141394,0.0571727,1.03184,-0.804405
1229.54,0.141394,0.0571727,1.03184,-0.908875
1229.54,0.141394,0.0571727,1.03184,-0.964852
1229.26,0.141424,0.0572402,1.03166,-0.967812
1229.26,0.141424,0.0572402,1.03166,-0.91912
1229.26,0.141424,0.0572402,1.03166,-0.82111
1229.26,0.141424,0.0572402,1.03166,-0.680461
1229.26,0.141424,0.0572402,1.03166,-0.506759
1229.26,0.141424,0.0572402,1.03166,-0.31184
1229.26,0.141424,0.0572402,1.03166,-0.108988
1229.26,0.141424,0.0572402,1.03166,0.087972
1229.26,0.141424,0.0572402,1.03166,0.265619
1229.26,0.141424,0.0572402,1.03166,0.411845
1229.26,0.141424,0.0572402,1.03166,0.516686
1229.26,0.141424,0.0572402,1.03166,0.572998
1229.26,0.141424,0.0572402,1.03166,0.576942
1229.26,0.141424,0.0572402,1.03166,0.52825
1229.26,0.141424,0.0572402,1.03166,0.43024
1229.26,0.141424,0.0572402,1.03166,0.289591
1229.26,0.141424,0.0572402,1.03166,0.115888
1229.26,0.141424,0.0572402,1.03166,-0.0790306
1229.26,0.141424,0.0572402,1.03166,-0.281882
1229.26,0.141424,0.0572402,1.03166,-0.478843
1229.26,0.141424,0.0572402,1.03166,-0.656489
1229.26,0.141424,0.0572402,1.03166,-0.802716
1229.26,0.141424,0.0572402,1.03166,-0.907557
1229.26,0.141424,0.0572402,1.03166,-0.963868
1228.97,0.141458,0.0573104,1.03147,-0.96706
1228.97,0.141458,0.0573104,1.03147,-0.918554
1228.97,0.141458,0.0573104,1.03147,-0.820639
1228.97,0.141458,0.0573104,1.03147,-0.679986
1228.97,0.141458,0.0573104,1.03147,-0.506182
1228.97,0.141458,0.0573104,1.03147,-0.31107
1228.97,0.141458,0.0573104,1.03147,-0.107948
1228.97,0.141458,0.0573104,1.03147,0.0893425
1228.97,0.141458,0.0573104,1.03147,0.267356
1228.97,0.141458,0.0573104,1.03147,0.413962
1228.97,0.141458,0.0573104,1.03147,0.519169
1228.97,0.141458,0.0573104,1.03147,0.575807
1228.97,0.141458,0.0573104,1.03147,0.580017
1228.97,0.141458,0.0573104,1.03147,0.531511
1228.97,0.141458,0.0573104,1.03147,0.433596
1228.97,0.141458,0.0573104,1.03147,0.292943
1228.97,0.141458,0.0573104,1.03147,0.119139
1228.97,0.141458,0.0573104,1.03147,-0.0759726
1228.97,0.141458,0.0573104,1.03147,-0.279095
1228.97,0.141458,0.0573104,1.03147,-0.476386
1228.97,0.141458,0.0573104,1.03147,-0.654399
1228.97,0.141458,0.0573104,1.03147,-0.801005
1228.97,0.141458,0.0573104,1.03147,-0.906212
1228.97,0.141458,0.0573104,1.03147,-0.96285
1228.68,0.141493,0.0573833,1.03127,-0.966262
1228.68,0.141493,0.0573833,1.03127,-0.917932
1228.68,0.141493,0.0573833,1.03127,-0.8201
1228.68,0.141493,0.0573833,1.03127,-0.679433
1228.68,0.141493,0.0573833,1.03127,-0.505517
1228.68,0.141493,0.0573833,1.03127,-0.310205
1228.68,0.141493,0.0573833,1.03127,-0.106807
1228.68,0.141493,0.0573833,1.03127,0.090817
1228.68,0.141493,0.0573833,1.03127,0.269198
1228.68,0.141493,0.0573833,1.03127,0.41618
1228.68,0.141493,0.0573833,1.03127,0.521746
1228.68,0.141493,0.0573833,1.03127,0.578703
1228.68,0.141493,0.0573833,1.03127,0.583168
1228.68,0.141493,0.0573833,1.03127,0.534838
1228.68,0.141493,0.0573833,1.03127,0.437005
1228.68,0.141493,0.0573833,1.03127,0.296338
1228.68,0.141493,0.0573833,1.03127,0.122423
1228.68,0.141493,0.0573833,1.03127,-0.0728894
1228.68,0.141493,0.0573833,1.03127,-0.276288
1228.68,0.141493,0.0573833,1.03127,-0.473911
1228.68,0.141493,0.0573833,1.03127,-0.652292
1228.68,0.141493,0.0573833,1.03127,-0.799274
1228.68,0.141493,0.0573833,1.03127,-0.90484
1228.68,0.141493,0.0573833,1.03127,-0.961797
1228.37,0.141532,0.0574584,1.03105,-0.965419
1228.37,0.141532,0.0574584,1.03105,-0.917253
1228.37,0.141532,0.0574584,1.03105,-0.819492
1228.37,0.141532,0.0574584,1.03105,-0.6788
1228.37,0.141532,0.0574584,1.03105,-0.504764
1228.37,0.141532,0.0574584,1.03105,-0.309243
1228.37,0.141532,0.0574584,1.03105,-0.105564
1228.37,0.141532,0.0574584,1.03105,0.092395
1228.37,0.141532,0.0574584,1.03105,0.271142
1228.37,0.141532,0.0574584,1.03105,0.418496
1228.37,0.141532,0.0574584,1.03105,0.524416
1228.37,0.141532,0.0574584,1.03105,0.581682
1228.37,0.141532,0.0574584,1.03105,0.586393
1228.37,0.141532,0.0574584,1.03105,0.538227
1228.37,0.141532,0.0574584,1.03105,0.440466
1228.37,0.141532,0.0574584,1.03105,0.299774
1228.37,0.141532,0.0574584,1.03105,0.125738
1228.37,0.141532,0.0574584,1.03105,-0.0697825
1228.37,0.141532,0.0574584,1.03105,-0.273462
1228.37,0.141532,0.0574584,1.03105,-0.471421
