A,B,C,AVSC,cos-zenith
1231.84,0.141262,0.0567103,1.03315,0.464974
1231.84,0.141262,0.0567103,1.03315,0.381436
1231.84,0.141262,0.0567103,1.03315,0.256171
1231.84,0.141262,0.0567103,1.03315,0.0977136
1231.84,0.141262,0.0567103,1.03315,-0.0831362
1231.84,0.141262,0.0567103,1.03315,-0.274054
1231.84,0.141262,0.0567103,1.03315,-0.462029
1231.84,0.141262,0.0567103,1.03315,-0.634252
1231.84,0.141262,0.0567103,1.03315,-0.778984
1231.84,0.141262,0.0567103,1.03315,-0.886364
1231.84,0.141262,0.0567103,1.03315,-0.949074
1231.66,0.141259,0.0567348,1.03306,-0.962255
1231.66,0.141259,0.0567348,1.03306,-0.926438
1231.66,0.141259,0.0567348,1.03306,-0.843124
1231.66,0.141259,0.0567348,1.03306,-0.717991
1231.66,0.141259,0.0567348,1.03306,-0.559567
1231.66,0.141259,0.0567348,1.03306,-0.378648
1231.66,0.141259,0.0567348,1.03306,-0.187563
1231.66,0.141259,0.0567348,1.03306,0.000665993
1231.66,0.141259,0.0567348,1.03306,0.173211
1231.66,0.141259,0.0567348,1.03306,0.318313
1231.66,0.141259,0.0567348,1.03306,0.426084
1231.66,0.141259,0.0567348,1.03306,0.48918
1231.66,0.141259,0.0567348,1.03306,0.503301
1231.66,0.141259,0.0567348,1.03306,0.467484
1231.66,0.141259,0.0567348,1.03306,0.38417
1231.66,0.141259,0.0567348,1.03306,0.259037
1231.66,0.141259,0.0567348,1.03306,0.100613
1231.66,0.141259,0.0567348,1.03306,-0.0803066
1231.66,0.141259,0.0567348,1.03306,-0.271392
1231.66,0.141259,0.0567348,1.03306,-0.45962
1231.66,0.141259,0.0567348,1.03306,-0.632165
1231.66,0.141259,0.0567348,1.03306,-0.777267
1231.66,0.141259,0.0567348,1.03306,-0.885039
1231.66,0.141259,0.0567348,1.03306,-0.948134
1231.46,0.14126,0.056765,1.03296,-0.961627
1231.46,0.14126,0.056765,1.03296,-0.926102
1231.46,0.14126,0.056765,1.03296,-0.843003
1231.46,0.14126,0.056765,1.03296,-0.717993
1231.46,0.14126,0.056765,1.03296,-0.559591
1231.46,0.14126,0.056765,1.03296,-0.378593
1231.46,0.14126,0.056765,1.03296,-0.187332
1231.46,0.14126,0.056765,1.03296,0.00115652
1231.46,0.14126,0.056765,1.03296,0.174028
1231.46,0.14126,0.056765,1.03296,0.319501
1231.46,0.14126,0.056765,1.03296,0.427663
1231.46,0.14126,0.056765,1.03296,0.491141
1231.46,0.14126,0.056765,1.03296,0.505611
1231.46,0.14126,0.056765,1.03296,0.470086
1231.46,0.14126,0.056765,1.03296,0.386986
1231.46,0.14126,0.056765,1.03296,0.261976
1231.46,0.14126,0.056765,1.03296,0.103575
1231.46,0.14126,0.056765,1.03296,-0.077424
1231.46,0.14126,0.056765,1.03296,-0.268685
1231.46,0.14126,0.056765,1.03296,-0.457173
1231.46,0.14126,0.056765,1.03296,-0.630045
1231.46,0.14126,0.056765,1.03296,-0.775518
1231.46,0.14126,0.056765,1.03296,-0.883679
1231.46,0.14126,0.056765,1.03296,-0.947158
1231.25,0.141265,0.0568004,1.03286,-0.960956
1231.25,0.141265,0.0568004,1.03286,-0.925714
1231.25,0.141265,0.0568004,1.03286,-0.84282
1231.25,0.141265,0.0568004,1.03286,-0.717922
1231.25,0.141265,0.0568004,1.03286,-0.559533
1231.25,0.141265,0.0568004,1.03286,-0.378446
1231.25,0.141265,0.0568004,1.03286,-0.187002
1231.25,0.141265,0.0568004,1.03286,0.00175312
1231.25,0.141265,0.0568004,1.03286,0.174955
1231.25,0.141265,0.0568004,1.03286,0.3208
1231.25,0.141265,0.0568004,1.03286,0.429351
1231.25,0.141265,0.0568004,1.03286,0.493208
1231.25,0.141265,0.0568004,1.03286,0.50802
1231.25,0.141265,0.0568004,1.03286,0.472778
1231.25,0.141265,0.0568004,1.03286,0.389884
1231.25,0.141265,0.0568004,1.03286,0.264987
1231.25,0.141265,0.0568004,1.03286,0.106597
1231.25,0.141265,0.0568004,1.03286,-0.07449
1231.25,0.141265,0.0568004,1.03286,-0.265934
1231.25,0.141265,0.0568004,1.03286,-0.454689
1231.25,0.141265,0.0568004,1.03286,-0.627891
1231.25,0.141265,0.0568004,1.03286,-0.773736
1231.25,0.141265,0.0568004,1.03286,-0.882286
1231.25,0.141265,0.0568004,1.03286,-0.946144
1231.04,0.141273,0.0568409,1.03274,-0.96024
1231.04,0.141273,0.0568409,1.03274,-0.925273
1231.04,0.141273,0.0568409,1.03274,-0.842574
1231.04,0.141273,0.0568409,1.03274,-0.717779
1231.04,0.141273,0.0568409,1.03274,-0.559392
1231.04,0.141273,0.0568409,1.03274,-0.378206
1231.04,0.141273,0.0568409,1.03274,-0.186571
1231.04,0.141273,0.0568409,1.03274,0.0024561
1231.04,0.141273,0.0568409,1.03274,0.175992
1231.04,0.141273,0.0568409,1.03274,0.32221
1231.04,0.141273,0.0568409,1.03274,0.431147
1231.04,0.141273,0.0568409,1.03274,0.495379
1231.04,0.141273,0.0568409,1.03274,0.510527
1231.04,0.141273,0.0568409,1.03274,0.47556
1231.04,0.141273,0.0568409,1.03274,0.392861
1231.04,0.141273,0.0568409,1.03274,0.268066
1231.04,0.141273,0.0568409,1.03274,0.109679
1231.04,0.141273,0.0568409,1.03274,-0.0715066
1231.04,0.141273,0.0568409,1.03274,-0.263142
1231.04,0.141273,0.0568409,1.03274,-0.452169
1231.04,0.141273,0.0568409,1.03274,-0.625705
1231.04,0.141273,0.0568409,1.03274,-0.771923
1231.04,0.141273,0.0568409,1.03274,-0.88086
1231.04,0.141273,0.0568409,1.03274,-0.945092
1230.81,0.141285,0.0568861,1.03262,-0.959479
1230.81,0.141285,0.0568861,1.03262,-0.924779
1230.81,0.141285,0.0568861,1.03262,-0.842265
1230.81,0.141285,0.0568861,1.03262,-0.717561
1230.81,0.141285,0.0568861,1.03262,-0.559166
1230.81,0.141285,0.0568861,1.03262,-0.377874
1230.81,0.141285,0.0568861,1.03262,-0.186039
1230.81,0.141285,0.0568861,1.03262,0.00326568
1230.81,0.141285,0.0568861,1.03262,0.177138
1230.81,0.141285,0.0568861,1.03262,0.323731
1230.81,0.141285,0.0568861,1.03262,0.433052
1230.81,0.141285,0.0568861,1.03262,0.497653
1230.81,0.141285,0.0568861,1.03262,0.51313
1230.81,0.141285,0.0568861,1.03262,0.47843
1230.81,0.141285,0.0568861,1.03262,0.395916
1230.81,0.141285,0.0568861,1.03262,0.271212
1230.81,0.141285,0.0568861,1.03262,0.112817
1230.81,0.141285,0.0568861,1.03262,-0.0684756
1230.81,0.141285,0.0568861,1.03262,-0.260311
1230.81,0.141285,0.0568861,1.03262,-0.449615
1230.81,0.141285,0.0568861,1.03262,-0.623488
1230.81,0.141285,0.0568861,1.03262,-0.77008
1230.81,0.141285,0.0568861,1.03262,-0.879401
1230.81,0.141285,0.0568861,1.03262,-0.944002
1230.57,0.141301,0.0569357,1.03248,-0.958673
1230.57,0.141301,0.0569357,1.03248,-0.92423
1230.57,0.141301,0.0569357,1.03248,-0.841891
1230.57,0.141301,0.0569357,1.03248,-0.717269
1230.57,0.141301,0.0569357,1.03248,-0.558856
1230.57,0.141301,0.0569357,1.03248,-0.377447
1230.57,0.141301,0.0569357,1.03248,-0.185405
1230.57,0.141301,0.0569357,1.03248,0.00418203
1230.57,0.141301,0.0569357,1.03248,0.178395
1230.57,0.141301,0.0569357,1.03248,0.32536
1230.57,0.141301,0.0569357,1.03248,0.435063
1230.57,0.141301,0.0569357,1.03248,0.500028
